Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 348,0.0000,0.0000,0.0000,0.0000
Test 349,0.0000,0.0000,0.0000,0.0000
Test 350,0.0000,0.0000,0.0000,0.0000
Test 351,0.0000,0.0000,0.0000,0.0000
Test 352,0.0000,0.0000,0.0000,0.0000
Test 353,0.0000,0.0000,0.0000,0.0000
Test 354,0.0000,0.0000,999800.0000,0.0000
Test 355,0.0000,0.0000,0.0000,0.0000
Test 356,0.0000,0.0000,0.0000,0.0000
Test 357,0.0000,0.0000,0.0000,0.0000
Test 358,0.0000,0.0000,0.0000,0.0000
Test 359,0.0000,0.0000,0.0000,0.0000
Test 360,0.0000,0.0000,0.0000,0.0000
Test 361,0.0000,0.0000,0.0000,0.0000
Test 362,0.0000,0.0000,0.0000,0.0000
Test 363,0.0000,0.0000,0.0000,0.0000
Test 364,0.0000,0.0000,0.0000,0.0000
Test 365,0.0000,0.0000,0.0000,0.0000
Test 366,0.0000,0.0000,0.0000,0.0000
Test 367,0.0000,0.0000,1000600.0000,0.0000
Test 368,0.0000,0.0000,0.0000,0.0000
Test 369,0.0000,0.0000,0.0000,0.0000
Test 370,0.0000,0.0000,0.0000,0.0000
Test 371,0.0000,0.0000,0.0000,0.0000
Test 372,0.0000,0.0000,0.0000,0.0000
Test 373,0.0000,0.0000,0.0000,0.0000
Test 374,0.0000,0.0000,0.0000,0.0000
Test 375,0.0000,0.0000,0.0000,0.0000
Test 376,0.0000,0.0000,0.0000,0.0000
Test 377,0.0000,0.0000,0.0000,0.0000
Test 378,0.0000,0.0000,0.0000,0.0000
Test 379,0.0000,0.0000,0.0000,0.0000
Test 380,0.0000,0.0000,1014900.0000,0.0000
Test 381,0.0000,0.0000,0.0000,0.0000
Test 382,0.0000,0.0000,0.0000,0.0000
Test 383,0.0000,0.0000,0.0000,0.0000
Test 384,0.0000,0.0000,0.0000,0.0000
Test 385,0.0000,0.0000,0.0000,0.0000
Test 386,0.0000,0.0000,0.0000,0.0000
Test 387,0.0000,0.0000,0.0000,0.0000
Test 388,0.0000,0.0000,0.0000,0.0000
Test 389,0.0000,0.0000,0.0000,0.0000
Test 390,0.9857,0.0000,0.0000,0.0000
Test 391,0.0000,0.0000,0.0000,0.0000
Test 392,0.0000,0.0000,0.0000,0.0000
Test 393,0.0000,0.0000,0.0000,0.0000
Test 394,0.0000,0.0000,0.0000,0.0000
Test 395,0.0000,0.0000,0.0000,0.0000
Test 396,0.0000,0.0000,0.0000,0.0000
Test 397,0.0000,0.0000,0.0000,0.0000
Test 398,0.0000,0.0000,0.0000,0.0000
Test 399,0.0000,0.0000,0.0000,0.0000
Test 400,0.0000,0.0000,0.0000,0.0000
Test 401,0.0000,0.0000,0.0000,0.0000
Test 402,0.0000,0.0000,0.0000,0.0000
Test 403,1.0002,0.0000,0.0000,0.0000
Test 404,0.0000,0.0000,0.0000,0.0000
Test 405,0.0000,0.0000,0.0000,0.0000
Test 406,0.0000,0.0000,0.0000,0.0000
Test 407,0.0000,0.0000,0.0000,0.0000
Test 408,0.0000,0.0000,0.0000,0.0000
Test 409,0.0000,0.0000,0.0000,0.0000
Test 410,0.0000,0.0000,0.0000,0.0000
Test 411,0.0000,0.0000,0.0000,0.0000
Test 412,0.0000,0.0000,0.0000,0.0000
Test 413,0.0000,0.0000,0.0000,0.0000
Test 414,0.0000,0.0000,0.0000,0.0000
Test 415,0.0000,0.0000,0.0000,0.0000
Test 416,1.0001,0.0000,0.0000,0.0000
Test 417,0.0000,0.0000,0.0000,0.0000
Test 418,0.0000,0.0000,0.0000,0.0000
Test 419,0.0000,0.0000,0.0000,0.0000
Test 420,0.0000,0.0000,0.0000,0.0000
Test 421,0.0000,0.0000,0.0000,0.0000
Test 422,0.0000,0.0000,0.0000,0.0000
Test 423,0.0000,0.0000,0.0000,0.0000
Test 424,0.0000,0.0000,0.0000,0.0000
Test 425,0.0000,0.0000,0.0000,0.0000
Test 426,0.0000,0.0000,0.0000,0.0000
Test 427,0.0000,0.0000,0.0000,0.0000
